VARIABLE,TIME/CHAINAGE,0.000000,2000.000,4000.000
WvHt,01/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,01/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,01/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,02/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,02/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,02/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,03/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,03/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,03/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,04/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,04/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,04/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,05/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,05/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,05/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,06/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,06/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,06/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,07/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,07/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,07/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,08/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,08/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,08/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,09/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,09/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,09/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,10/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,10/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,10/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,11/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,11/01/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,11/01/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,12/01/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,12/01/2000 00:00:00,10.00000,10.00000,10.00000
